(t_index)(term           )(df )
(2754   )(resort         )(2  )
(2755   )(resourcerich   )(1  )
(2756   )(respect        )(1  )
(2757   )(respiratori    )(1  )
(2758   )(respond        )(4  )
(2759   )(respons        )(20 )
(2760   )(rest           )(5  )
(2761   )(restor         )(7  )
(2762   )(restrict       )(1  )
(2763   )(result         )(11 )
(2764   )(result:        )(1  )
(2765   )(resum          )(9  )
(2766   )(resurg         )(1  )
(2767   )(retain         )(3  )
(2768   )(retali         )(5  )
(2769   )(retir          )(12 )
(2770   )(retract        )(1  )
(2771   )(retreat        )(1  )
(2772   )(retribut       )(1  )
(2773   )(retriev        )(5  )
(2774   )(retrospect     )(1  )
(2775   )(return         )(27 )
(2776   )(reunion        )(1  )
(2777   )(reveal         )(4  )
(2778   )(revel          )(1  )
(2779   )(revenu         )(1  )
(2780   )(reverber       )(1  )
(2781   )(review         )(15 )
(2782   )(revis          )(5  )
(2783   )(reviv          )(2  )
(2784   )(revok          )(1  )
(2785   )(revolt         )(4  )
(2786   )(revolut        )(5  )
(2787   )(reward         )(5  )
(2788   )(rfla           )(1  )
(2789   )(riad           )(1  )
(2790   )(ribbon         )(1  )
(2791   )(ricardo        )(1  )
(2792   )(rich           )(9  )
(2793   )(richard        )(4  )
(2794   )(richter        )(5  )
(2795   )(rick           )(2  )
(2796   )(rid            )(2  )
(2797   )(ride           )(1  )
(2798   )(rig            )(2  )
(2799   )(rigg           )(4  )
(2800   )(right          )(8  )
(2801   )(ring           )(2  )
(2802   )(ringlead       )(1  )
(2803   )(riot           )(3  )
(2804   )(rip            )(6  )
(2805   )(rippl          )(1  )
(2806   )(rippner        )(4  )
(2807   )(rise           )(10 )
(2808   )(risen          )(1  )
(2809   )(risk           )(3  )
(2810   )(riski          )(1  )
(2811   )(rittner        )(1  )
(2812   )(riva           )(2  )
(2813   )(rival          )(7  )
(2814   )(rivalri        )(1  )
(2815   )(riyadh         )(1  )
(2816   )(road           )(4  )
(2817   )(roadblock      )(3  )
(2818   )(roam           )(1  )
(2819   )(rob            )(1  )
(2820   )(robb           )(4  )
(2821   )(robberi        )(5  )
(2822   )(rober          )(1  )
(2823   )(robert         )(11 )
(2824   )(robertson      )(1  )
(2825   )(rochel         )(1  )
(2826   )(rock           )(8  )
(2827   )(rockcut        )(1  )
(2828   )(rocketpropel   )(2  )
(2829   )(rod            )(5  )
(2830   )(rodger         )(1  )
(2831   )(rodham         )(9  )
(2832   )(rodway         )(1  )
(2833   )(roger          )(3  )
(2834   )(role           )(4  )
(2835   )(roll           )(2  )
(2836   )(rome           )(1  )
(2837   )(ron            )(4  )
(2838   )(ronald         )(2  )
(2839   )(ronni          )(1  )
(2840   )(roof           )(1  )
(2841   )(room           )(5  )
(2842   )(rosa           )(1  )
(2843   )(rose           )(4  )
(2844   )(rosenfield     )(1  )
(2845   )(rostenkowski   )(1  )
(2846   )(rot            )(1  )
(2847   )(rough          )(1  )
(2848   )(roughshod      )(1  )
(2849   )(round          )(18 )
(2850   )(rout           )(2  )
(2851   )(routin         )(1  )
(2852   )(routine:       )(1  )
(2853   )(roy            )(2  )
(2854   )(rubber         )(2  )
(2855   )(rubbl          )(17 )
(2856   )(ruesta         )(1  )
(2857   )(ruin           )(6  )
(2858   )(rule           )(31 )
(2859   )(ruler          )(9  )
(2860   )(rumbl          )(1  )
(2861   )(rumor          )(3  )
(2862   )(run            )(23 )
(2863   )(rundown        )(2  )
(2864   )(runoff         )(2  )
(2865   )(rural          )(2  )
(2866   )(ruse           )(1  )
(2867   )(rusedski       )(1  )
(2868   )(rush           )(3  )
(2869   )(russia         )(37 )
(2870   )(russian        )(72 )
(2871   )(ruthless       )(2  )
(2872   )(rv             )(2  )
(2873   )(sabotag        )(1  )
(2874   )(sad            )(4  )
(2875   )(sadden         )(1  )
(2876   )(saeed          )(1  )
(2877   )(safe           )(2  )
(2878   )(safeti         )(5  )
(2879   )(safin          )(3  )
(2880   )(said           )(144)
(2881   )(saigon         )(8  )
(2882   )(sail           )(2  )
(2883   )(sailor         )(95 )
(2884   )(sala           )(5  )
(2885   )(salazar        )(1  )
(2886   )(saleh          )(1  )
(2887   )(saler          )(1  )
(2888   )(salvador       )(31 )
(2889   )(salvadoran     )(5  )
(2890   )(salvadorian    )(1  )
(2891   )(salvag         )(3  )
(2892   )(sam            )(1  )
(2893   )(sampra         )(8  )
(2894   )(san            )(5  )
(2895   )(sana           )(1  )
(2896   )(sanction       )(6  )
(2897   )(sander         )(1  )
(2898   )(sandi          )(1  )
(2899   )(sandiego       )(1  )
(2900   )(sandra         )(1  )
(2901   )(sank           )(11 )
(2902   )(santa          )(3  )
(2903   )(sat            )(2  )
(2904   )(saturday       )(78 )
(2905   )(saudi          )(12 )
(2906   )(save           )(2  )
(2907   )(saw            )(5  )
(2908   )(say            )(96 )
(2909   )(scale          )(6  )
(2910   )(scalp          )(1  )
(2911   )(scandal        )(12 )
(2912   )(scandinavian   )(1  )
(2913   )(scene          )(8  )
(2914   )(schaffer       )(1  )
(2915   )(schedul        )(4  )
(2916   )(school         )(3  )
(2917   )(schwarzkopf    )(1  )
(2918   )(scientist      )(3  )
(2919   )(score          )(7  )
(2920   )(scour          )(1  )
(2921   )(scrambl        )(3  )
(2922   )(scrambler      )(1  )
(2923   )(scrap          )(1  )
(2924   )(scrape         )(1  )
(2925   )(scrawl         )(1  )
(2926   )(scrawni        )(1  )
(2927   )(scream         )(2  )
(2928   )(screen         )(1  )
(2929   )(scribbl        )(2  )
(2930   )(scriptur       )(1  )
(2931   )(scrutini       )(1  )
(2932   )(sea            )(23 )
(2933   )(seal           )(1  )
(2934   )(seam           )(1  )
(2935   )(seaman         )(2  )
(2936   )(seamen         )(4  )
(2937   )(sean           )(1  )
(2938   )(seaport        )(1  )
(2939   )(sear           )(1  )
(2940   )(search         )(54 )
(2941   )(searcher       )(3  )
(2942   )(season         )(5  )
(2943   )(seat           )(8  )
(2944   )(seattlebas     )(1  )
(2945   )(sebastien      )(2  )
(2946   )(sebek          )(1  )
(2947   )(second         )(19 )
(2948   )(secondseed     )(1  )
(2949   )(secret         )(5  )
(2950   )(secretari      )(33 )
(2951   )(secretarygener )(2  )
(2952   )(section        )(3  )
(2953   )(secur          )(44 )
(2954   )(see            )(1  )
(2955   )(seed           )(15 )
(2956   )(seek           )(17 )
(2957   )(seem           )(9  )
(2958   )(seen           )(2  )
(2959   )(seismolog      )(1  )
(2960   )(seismologist   )(1  )
(2961   )(seiz           )(5  )
(2962   )(sele           )(9  )
(2963   )(selfdoubt      )(2  )
(2964   )(selfproclaim   )(1  )
(2965   )(selfprotect    )(1  )
(2966   )(semi           )(3  )
(2967   )(semifin        )(4  )
(2968   )(sen            )(9  )
(2969   )(senat          )(37 )
(2970   )(senate:        )(1  )
(2971   )(senatorelect   )(1  )
(2972   )(send           )(5  )
(2973   )(senelect       )(1  )
(2974   )(senior         )(13 )
(2975   )(sens           )(2  )
(2976   )(sent           )(14 )
(2977   )(sentenc        )(21 )
(2978   )(sentiment      )(2  )
(2979   )(separ          )(1  )
(2980   )(sept           )(2  )
(2981   )(septemb        )(3  )
(2982   )(serafin        )(1  )
(2983   )(serb           )(7  )
(2984   )(serbia         )(14 )
(2985   )(serbian        )(10 )
(2986   )(serena         )(11 )
(2987   )(serheo         )(1  )
(2988   )(seri           )(2  )
(2989   )(seriou         )(4  )
(2990   )(serious        )(1  )
(2991   )(serv           )(4  )
(2992   )(servant        )(1  )
(2993   )(serveandvolley )(2  )
(2994   )(servic         )(15 )
(2995   )(servicemen     )(3  )
(2996   )(servil         )(1  )
(2997   )(session        )(3  )
(2998   )(set            )(22 )
(2999   )(setback        )(2  )
(3000   )(settl          )(4  )
(3001   )(seven          )(50 )
(3002   )(sevenstori     )(1  )
(3003   )(seventeen      )(2  )
(3004   )(sevenweek      )(1  )
(3005   )(sever          )(24 )
(3006   )(seymour        )(1  )
(3007   )(shaar          )(1  )
(3008   )(shack          )(1  )
(3009   )(shadow         )(1  )
(3010   )(shadowi        )(1  )
(3011   )(shaher         )(1  )
(3012   )(shake          )(3  )
(3013   )(shaken         )(2  )
(3014   )(shaki          )(1  )
(3015   )(shambl         )(3  )
(3016   )(shape          )(1  )
(3017   )(share          )(1  )
(3018   )(sharp          )(1  )
(3019   )(sharpli        )(2  )
(3020   )(shatter        )(5  )
(3021   )(shaughnessi    )(2  )
(3022   )(she            )(1  )
(3023   )(shed           )(1  )
(3024   )(shell          )(2  )
(3025   )(shelton        )(1  )
(3026   )(shepherd       )(1  )
(3027   )(sheriff        )(1  )
(3028   )(sherri         )(1  )
(3029   )(shiela         )(1  )
(3030   )(shift          )(4  )
(3031   )(ship           )(46 )
(3032   )(shipbuild      )(1  )
(3033   )(shipmat        )(5  )
(3034   )(shipyard       )(3  )
(3035   )(shirt          )(2  )
(3036   )(shiver         )(1  )
(3037   )(shkval         )(1  )
(3038   )(shock          )(4  )
(3039   )(shoe           )(2  )
(3040   )(shoeleath      )(2  )
(3041   )(shook          )(13 )
(3042   )(shootout       )(1  )
(3043   )(shop           )(1  )
(3044   )(short          )(9  )
(3045   )(shortstaf      )(1  )
(3046   )(shot           )(4  )
(3047   )(shotmak        )(1  )
(3048   )(shout          )(2  )
(3049   )(shovel         )(2  )
(3050   )(show           )(13 )
(3051   )(showdown       )(2  )
(3052   )(shower         )(1  )
(3053   )(shown          )(2  )
(3054   )(shrewd         )(1  )
(3055   )(shrink         )(1  )
(3056   )(shun           )(1  )
(3057   )(shut           )(1  )
(3058   )(shuttl         )(2  )
(3059   )(sibl           )(1  )
(3060   )(side           )(8  )
(3061   )(sieg           )(1  )
(3062   )(siev           )(5  )
(3063   )(sign           )(5  )
(3064   )(signal         )(3  )
(3065   )(silenc         )(1  )
(3066   )(silent         )(1  )
(3067   )(silvia         )(1  )
(3068   )(similarli      )(1  )
(3069   )(simpl          )(2  )
(3070   )(simpli         )(1  )
(3071   )(sinc           )(29 )
(3072   )(singapor       )(1  )
(3073   )(singer         )(2  )
(3074   )(singl          )(1  )
(3075   )(singular       )(1  )
(3076   )(sink           )(4  )
(3077   )(sister         )(6  )
(3078   )(sit            )(2  )
(3079   )(site           )(9  )
(3080   )(situat         )(4  )
(3081   )(six            )(17 )
(3082   )(sixmemb        )(1  )
(3083   )(sixth          )(4  )
(3084   )(sixweek        )(2  )
(3085   )(sixyear        )(1  )
(3086   )(size           )(1  )
(3087   )(sketch         )(6  )
(3088   )(skiff          )(1  )
(3089   )(skin           )(1  )
(3090   )(skip           )(1  )
(3091   )(skipper        )(1  )
(3092   )(skirt          )(1  )
(3093   )(sky            )(1  )
(3094   )(slab           )(1  )
(3095   )(slam           )(11 )
(3096   )(slate          )(2  )
(3097   )(slay           )(1  )
(3098   )(sleep          )(1  )
(3099   )(slice          )(4  )
(3100   )(slid           )(1  )
(3101   )(slide          )(1  )
(3102   )(slightest      )(1  )
(3103   )(slightli       )(3  )
(3104   )(slip           )(2  )
(3105   )(slobodan       )(84 )
(3106   )(slouch         )(1  )
(3107   )(slovakia       )(1  )
(3108   )(slow           )(4  )
(3109   )(slowli         )(4  )
(3110   )(sluggish       )(1  )
(3111   )(slump          )(1  )
(3112   )(small          )(17 )
(3113   )(smaller        )(1  )
(3114   )(smell          )(2  )
(3115   )(smile          )(1  )
(3116   )(smoke          )(7  )
(3117   )(smolinski      )(1  )
(3118   )(smooth         )(1  )
(3119   )(snarl          )(1  )
(3120   )(sneaker        )(1  )
(3121   )(sniffer        )(3  )
(3122   )(snowcov        )(1  )
(3123   )(soak           )(1  )
(3124   )(socal          )(1  )
(3125   )(social         )(1  )
(3126   )(socialist      )(5  )
(3127   )(societi        )(1  )
(3128   )(sock           )(1  )
(3129   )(soldier        )(11 )
(3130   )(solemn         )(1  )
(3131   )(solidifi       )(1  )
(3132   )(solut          )(3  )
(3133   )(somalia        )(3  )
(3134   )(someday        )(1  )
(3135   )(someon         )(2  )
(3136   )(someth         )(4  )
(3137   )(sometim        )(1  )
(3138   )(somewher       )(1  )
(3139   )(son            )(13 )
(3140   )(soon           )(4  )
(3141   )(sooner         )(1  )
(3142   )(sophist        )(3  )
(3143   )(sore           )(1  )
(3144   )(sorri          )(1  )
(3145   )(sought         )(1  )
(3146   )(sound          )(3  )
(3147   )(sour           )(1  )
(3148   )(sourc          )(17 )
(3149   )(south          )(17 )
(3150   )(southeast      )(1  )
(3151   )(southern       )(6  )
(3152   )(soviet         )(3  )
(3153   )(span           )(1  )
(3154   )(spark          )(1  )
(3155   )(spat           )(1  )
(3156   )(speak          )(5  )
(3157   )(speaker        )(1  )
(3158   )(special        )(8  )
(3159   )(specialist     )(2  )
(3160   )(specif         )(5  )
(3161   )(spectacular    )(1  )
(3162   )(spectat        )(1  )
(3163   )(speech         )(4  )
(3164   )(speedskat      )(1  )
(3165   )(spell          )(3  )
(3166   )(spenc          )(1  )
(3167   )(spend          )(3  )
(3168   )(spent          )(9  )
(3169   )(spi            )(19 )
(3170   )(spine          )(1  )
(3171   )(spirit         )(2  )
(3172   )(split          )(1  )
(3173   )(spoil          )(1  )
(3174   )(spoke          )(3  )
(3175   )(spoken         )(1  )
(3176   )(spokesman      )(6  )
(3177   )(spokeswoman    )(1  )
(3178   )(sport          )(20 )
(3179   )(spot           )(3  )
(3180   )(spotlight      )(1  )
(3181   )(spous          )(2  )
(3182   )(spraig         )(1  )
(3183   )(sprain         )(4  )
(3184   )(spread         )(8  )
(3185   )(spring         )(3  )
(3186   )(sprout         )(2  )
(3187   )(spymast        )(1  )
(3188   )(squad          )(2  )
(3189   )(squall         )(1  )
(3190   )(squar          )(1  )
(3191   )(squeez         )(1  )
(3192   )(squish         )(1  )
(3193   )(st             )(5  )
(3194   )(stabil         )(2  )
(3195   )(stabl          )(1  )
(3196   )(stack          )(2  )
(3197   )(stadium        )(2  )
(3198   )(staff          )(3  )
(3199   )(stage          )(8  )
(3200   )(stake          )(3  )
(3201   )(stand          )(6  )
(3202   )(star           )(4  )
(3203   )(start          )(11 )
(3204   )(stasio         )(1  )
(3205   )(state          )(119)
(3206   )(statement      )(6  )
(3207   )(staterun       )(1  )
(3208   )(station        )(9  )
(3209   )(statu          )(1  )
(3210   )(staunchli      )(1  )
(3211   )(stay           )(11 )
(3212   )(steadi         )(1  )
(3213   )(steal          )(1  )
(3214   )(stealth        )(1  )
(3215   )(steam          )(1  )
(3216   )(steel          )(1  )
(3217   )(steer          )(1  )
(3218   )(stem           )(3  )
(3219   )(step           )(15 )
(3220   )(stephanopoulo  )(1  )
(3221   )(steven         )(1  )
(3222   )(stevenson      )(3  )
(3223   )(stick          )(2  )
(3224   )(stiff          )(1  )
(3225   )(stifl          )(1  )
(3226   )(still          )(32 )
(3227   )(stitch         )(1  )
(3228   )(stomach        )(1  )
(3229   )(stood          )(4  )
(3230   )(stool          )(2  )
(3231   )(stop           )(8  )
(3232   )(store          )(5  )
(3233   )(stori          )(34 )
(3234   )(stories:       )(1  )
(3235   )(storm          )(10 )
(3236   )(stormi         )(1  )
(3237   )(straight       )(3  )
(3238   )(straightset    )(1  )
(3239   )(strang         )(1  )
(3240   )(strateg        )(1  )
(3241   )(strategi       )(1  )
(3242   )(streak         )(1  )
(3243   )(street         )(29 )
(3244   )(strengthen     )(2  )
(3245   )(stress         )(1  )
(3246   )(stretch        )(2  )
(3247   )(stricken       )(2  )
(3248   )(strike         )(21 )
(3249   )(strikebound    )(3  )
(3250   )(strive         )(1  )
(3251   )(stroke         )(1  )
(3252   )(strong         )(11 )
(3253   )(stronghold     )(1  )
(3254   )(strongli       )(2  )
(3255   )(strongman      )(2  )
(3256   )(struck         )(14 )
(3257   )(structur       )(2  )
(3258   )(struggl        )(7  )
(3259   )(stubborn       )(1  )
(3260   )(stuck          )(1  )
(3261   )(student        )(3  )
(3262   )(studi          )(1  )
(3263   )(stuff          )(1  )
(3264   )(stun           )(7  )
(3265   )(style          )(3  )
(3266   )(sub            )(3  )
(3267   )(subcontin      )(2  )
(3268   )(subject        )(2  )
(3269   )(submachin      )(1  )
(3270   )(submarin       )(51 )
(3271   )(submit         )(4  )
(3272   )(subsidiari     )(1  )
(3273   )(suburb         )(4  )
(3274   )(subvers        )(2  )
(3275   )(succeed        )(4  )
(3276   )(success        )(7  )
(3277   )(successor      )(4  )
(3278   )(succumb        )(1  )
(3279   )(sudden         )(5  )
(3280   )(sue            )(3  )
(3281   )(suez           )(2  )
(3282   )(suffer         )(1  )
(3283   )(suggest        )(9  )
(3284   )(suicid         )(21 )
(3285   )(suit           )(4  )
(3286   )(sultri         )(1  )
(3287   )(summari        )(1  )
(3288   )(summer         )(2  )
(3289   )(summit         )(4  )
(3290   )(sun            )(1  )
(3291   )(sunday         )(62 )
(3292   )(sunglass       )(1  )
(3293   )(sunken         )(20 )
(3294   )(sunris         )(1  )
(3295   )(sunsplash      )(1  )
(3296   )(superpow       )(1  )
(3297   )(supervis       )(1  )
(3298   )(supervisor     )(2  )
(3299   )(suppli         )(6  )
(3300   )(support        )(31 )
(3301   )(suppos         )(2  )
(3302   )(suprem         )(4  )
(3303   )(supremacist    )(1  )
(3304   )(surfac         )(3  )
(3305   )(surgeon        )(2  )
(3306   )(surpris        )(3  )
(3307   )(surreal        )(1  )
(3308   )(surrend        )(7  )
(3309   )(surround       )(4  )
(3310   )(survey         )(2  )
(3311   )(surviv         )(16 )
(3312   )(survivor       )(38 )
(3313   )(susan          )(7  )
(3314   )(susann         )(1  )
(3315   )(suscept        )(1  )
(3316   )(suspect        )(24 )
(3317   )(suspend        )(2  )
(3318   )(suspens        )(3  )
(3319   )(suspicion      )(2  )
(3320   )(swami          )(1  )
(3321   )(swan           )(2  )
(3322   )(swarm          )(3  )
(3323   )(swear          )(1  )
(3324   )(swearingin     )(1  )
(3325   )(sweat          )(1  )
(3326   )(sweden         )(1  )
(3327   )(sweep          )(2  )
(3328   )(sweeten        )(1  )
(3329   )(swept          )(4  )
(3330   )(swift          )(1  )
(3331   )(swiftli        )(1  )
(3332   )(switch         )(3  )
(3333   )(switzerland    )(1  )
(3334   )(swoop          )(1  )
(3335   )(sworn          )(8  )
(3336   )(sy             )(1  )
(3337   )(sylvia         )(1  )
(3338   )(symbol         )(1  )
(3339   )(system         )(1  )
(3340   )(systemat       )(1  )
(3341   )(tabl           )(1  )
(3342   )(tableau        )(2  )
(3343   )(take           )(27 )
(3344   )(taken          )(5  )
(3345   )(takeov         )(2  )
(3346   )(taliban        )(1  )
(3347   )(talk           )(13 )
(3348   )(tamarin        )(1  )
(3349   )(tame           )(1  )
(3350   )(tanang         )(1  )
(3351   )(tanasugarn     )(1  )
(3352   )(tanjug         )(1  )
(3353   )(tantrum        )(1  )
(3354   )(tanugu         )(1  )
(3355   )(tanzania       )(1  )
(3356   )(tap            )(2  )
(3357   )(target         )(6  )
(3358   )(tarmac         )(1  )
(3359   )(task           )(7  )
(3360   )(tast           )(2  )
(3361   )(tax            )(1  )
(3362   )(taxevas        )(1  )
(3363   )(teacher        )(2  )
(3364   )(team           )(16 )
(3365   )(tear           )(5  )
(3366   )(tearga         )(1  )
(3367   )(technic        )(1  )
(3368   )(technician     )(3  )
(3369   )(techniqu       )(1  )
(3370   )(technolog      )(2  )
(3371   )(tecla          )(2  )
(3372   )(ted            )(1  )
(3373   )(teen           )(1  )
(3374   )(teenag         )(2  )
(3375   )(tekla          )(1  )
(3376   )(teleconfer     )(1  )
(3377   )(telephon       )(6  )
(3378   )(televis        )(12 )
(3379   )(tell           )(7  )
(3380   )(teller         )(1  )
(3381   )(temperatur     )(1  )
(3382   )(ten            )(20 )
(3383   )(tenni          )(15 )
(3384   )(tens           )(6  )
(3385   )(tent           )(3  )
(3386   )(tenur          )(1  )
(3387   )(ter            )(1  )
(3388   )(term           )(4  )
(3389   )(termend        )(1  )
(3390   )(terrenc        )(2  )
(3391   )(terribl        )(1  )
(3392   )(terrifi        )(1  )
(3393   )(terrifyingli   )(1  )
(3394   )(territori      )(1  )
(3395   )(terror         )(15 )
(3396   )(terrorist      )(89 )
(3397   )(test           )(2  )
(3398   )(testifi        )(2  )
(3399   )(testimoni      )(2  )
(3400   )(texa           )(50 )
(3401   )(text           )(1  )
(3402   )(th             )(8  )
(3403   )(thank          )(21 )
(3404   )(thanksgiv      )(1  )
(3405   )(that           )(8  )
(3406   )(thenmissouri   )(1  )
(3407   )(there          )(7  )
(3408   )(theyll         )(1  )
(3409   )(theyr          )(4  )
(3410   )(theyv          )(2  )
(3411   )(thick          )(5  )
(3412   )(thing          )(6  )
(3413   )(think          )(2  )
(3414   )(third          )(15 )
(3415   )(thirdlargest   )(1  )
(3416   )(thirteen       )(1  )
(3417   )(thirti         )(1  )
(3418   )(thirtynin      )(2  )
(3419   )(thirtythre     )(3  )
(3420   )(thoma          )(1  )
(3421   )(thompson       )(1  )
(3422   )(though         )(6  )
(3423   )(thought        )(4  )
(3424   )(thousand       )(34 )
(3425   )(threat         )(25 )
(3426   )(threaten       )(6  )
(3427   )(three          )(38 )
(3428   )(threeday       )(3  )
(3429   )(threeset       )(1  )
(3430   )(threshold      )(1  )
(3431   )(threw          )(1  )
(3432   )(thriller       )(1  )
(3433   )(thrive         )(1  )
(3434   )(throng         )(2  )
(3435   )(throughout     )(3  )
(3436   )(throw          )(1  )
(3437   )(thrown         )(1  )
(3438   )(thunder        )(1  )
(3439   )(thunderbird    )(1  )
(3440   )(thursday       )(61 )
(3441   )(thuzz          )(1  )
(3442   )(ticket         )(1  )
(3443   )(tie            )(1  )
(3444   )(tight          )(1  )
(3445   )(tighten        )(3  )
(3446   )(tighter        )(2  )
(3447   )(tim            )(1  )
(3448   )(time           )(57 )
(3449   )(timelin        )(2  )
(3450   )(timet          )(2  )
(3451   )(tini           )(1  )
(3452   )(tip            )(5  )
(3453   )(tire           )(1  )
(3454   )(tireless       )(1  )
(3455   )(titl           )(5  )
(3456   )(tnt            )(1  )
(3457   )(tod            )(2  )
(3458   )(today          )(113)
(3459   )(todd           )(3  )
(3460   )(togeth         )(6  )
(3461   )(toi            )(1  )
(3462   )(toietnam       )(1  )
(3463   )(tokyo          )(3  )
(3464   )(told           )(16 )
(3465   )(toll           )(26 )
(3466   )(tom            )(4  )
(3467   )(tomahawk       )(1  )
(3468   )(tommi          )(1  )
(3469   )(tomorrow       )(5  )
(3470   )(ton            )(4  )
(3471   )(toni           )(11 )
(3472   )(tonig          )(1  )
(3473   )(tonight        )(70 )
(3474   )(tonugu         )(1  )
(3475   )(took           )(19 )
(3476   )(tool           )(3  )
(3477   )(top            )(44 )
(3478   )(toppl          )(6  )
(3479   )(topseed        )(1  )
(3480   )(torch          )(1  )
(3481   )(tore           )(6  )
(3482   )(torn           )(3  )
(3483   )(torpedo        )(5  )
(3484   )(touch          )(2  )
(3485   )(tough          )(4  )
(3486   )(toughfought    )(1  )
(3487   )(tour           )(3  )
(3488   )(tournament     )(8  )
(3489   )(tow            )(1  )
(3490   )(toward         )(10 )
(3491   )(tower          )(2  )
(3492   )(town           )(10 )
(3493   )(track          )(10 )
(3494   )(trade          )(1  )
(3495   )(trader         )(2  )
(3496   )(tradit         )(2  )
(3497   )(traffic        )(4  )
(3498   )(traffick       )(1  )
(3499   )(tragedi        )(6  )
(3500   )(tragic         )(4  )
(3501   )(trail          )(1  )
(3502   )(trailer        )(1  )
(3503   )(train          )(1  )
(3504   )(tranquil       )(1  )
(3505   )(transfer       )(3  )
(3506   )(transform      )(2  )
(3507   )(transit        )(2  )
(3508   )(transmiss      )(1  )
(3509   )(transport      )(5  )
(3510   )(trap           )(16 )
(3511   )(travel         )(6  )
(3512   )(treat          )(2  )
(3513   )(treatment      )(5  )
(3514   )(tremor         )(5  )
(3515   )(trend          )(2  )
(3516   )(tri            )(43 )
(3517   )(trial          )(16 )
(3518   )(tribal         )(1  )
(3519   )(tribe          )(2  )
(3520   )(tribun         )(1  )
(3521   )(tribut         )(2  )
(3522   )(tricki         )(1  )
(3523   )(trickl         )(2  )
(3524   )(trigger        )(2  )
(3525   )(trip           )(7  )
(3526   )(triumph        )(1  )
(3527   )(troop          )(5  )
(3528   )(trooper        )(1  )
(3529   )(troubl         )(6  )
(3530   )(troublemak     )(1  )
(3531   )(truck          )(4  )
(3532   )(truckload      )(4  )
(3533   )(true           )(1  )
(3534   )(truli          )(3  )
(3535   )(truman         )(1  )
(3536   )(trust          )(1  )
(3537   )(tuesday        )(62 )
(3538   )(tumult         )(1  )
(3539   )(tumultu        )(1  )
(3540   )(tune           )(1  )
(3541   )(tuneup         )(1  )
(3542   )(tunnel         )(1  )
(3543   )(turbul         )(1  )
(3544   )(turkey         )(3  )
(3545   )(turmoil        )(1  )
(3546   )(turn           )(27 )
(3547   )(turnout        )(2  )
(3548   )(turnov         )(4  )
(3549   )(tv             )(2  )
(3550   )(twenti         )(1  )
(3551   )(twice          )(1  )
(3552   )(twinengin      )(2  )
(3553   )(twist          )(2  )
(3554   )(two            )(115)
(3555   )(twobytwo       )(1  )
(3556   )(twohour        )(1  )
(3557   )(tyson          )(1  )
(3558   )(ultim          )(1  )
(3559   )(umpir          )(1  )
(3560   )(un             )(3  )
(3561   )(unabl          )(1  )
(3562   )(unaccountedfor )(2  )
(3563   )(unarm          )(1  )
(3564   )(unbias         )(1  )
(3565   )(uncertain      )(1  )
(3566   )(uncertainti    )(3  )
(3567   )(unchalleng     )(1  )
(3568   )(unclear        )(2  )
(3569   )(underpaid      )(1  )
(3570   )(underscor      )(1  )
(3571   )(undersea       )(1  )
(3572   )(understand     )(1  )
(3573   )(undertak       )(2  )
(3574   )(underwat       )(2  )
(3575   )(underway       )(1  )
(3576   )(underworld     )(1  )
(3577   )(uner           )(2  )
(3578   )(unexpect       )(2  )
(3579   )(unexplod       )(1  )
(3580   )(unfamiliar     )(1  )
(3581   )(unfaz          )(1  )
(3582   )(unfinish       )(1  )
(3583   )(unfit          )(2  )
(3584   )(unflatt        )(1  )
(3585   )(unfold         )(1  )
(3586   )(unidentifi     )(2  )
(3587   )(unifi          )(2  )
(3588   )(union          )(8  )
(3589   )(unit           )(55 )
(3590   )(univers        )(6  )
(3591   )(unjustifi      )(2  )
(3592   )(unknown        )(5  )
(3593   )(unleash        )(3  )
(3594   )(unlik          )(1  )
(3595   )(unpreced       )(2  )
(3596   )(unpredict      )(2  )
(3597   )(unrel          )(1  )
(3598   )(unresolv       )(1  )
(3599   )(unrest         )(3  )
(3600   )(unseat         )(2  )
(3601   )(unseed         )(1  )
(3602   )(unshaken       )(2  )
(3603   )(unusu          )(3  )
(3604   )(up:            )(1  )
(3605   )(upcom          )(1  )
(3606   )(updat          )(6  )
(3607   )(upheav         )(2  )
(3608   )(upon           )(1  )
(3609   )(upris          )(6  )
(3610   )(upset          )(3  )
(3611   )(upstat         )(1  )
(3612   )(urg            )(12 )
(3613   )(urgent         )(3  )
(3614   )(us             )(200)
(3615   )(usback         )(4  )
(3616   )(use            )(28 )
(3617   )(uss            )(150)
(3618   )(usual          )(4  )
(3619   )(utah           )(1  )
(3620   )(va             )(2  )
(3621   )(vajpaye        )(1  )
(3622   )(valentin       )(8  )
(3623   )(valu           )(1  )
(3624   )(van            )(2  )
(3625   )(varieti        )(5  )
(3626   )(variou         )(1  )
(3627   )(vast           )(1  )
(3628   )(vault          )(1  )
(3629   )(veekz          )(1  )
(3630   )(vehicl         )(4  )
(3631   )(ventur         )(1  )
(3632   )(venu           )(11 )
(3633   )(verdict        )(6  )
(3634   )(verg           )(2  )
(3635   )(vers           )(2  )
(3636   )(version        )(1  )
(3637   )(vessel         )(9  )
(3638   )(vestig         )(2  )
(3639   )(veteran        )(4  )
(3640   )(vicar          )(1  )
(3641   )(vice           )(12 )
(3642   )(vicepresid     )(2  )
(3643   )(vick           )(1  )
(3644   )(victim         )(18 )
(3645   )(victori        )(22 )
