(t_index)(term           )(df )
(600    )(classifi       )(4  )
(601    )(claw           )(2  )
(602    )(clean          )(1  )
(603    )(clear          )(17 )
(604    )(clearli        )(1  )
(605    )(clemenc        )(10 )
(606    )(clement        )(9  )
(607    )(cleric         )(1  )
(608    )(clerk          )(1  )
(609    )(client         )(1  )
(610    )(clijster       )(1  )
(611    )(climb          )(5  )
(612    )(cling          )(2  )
(613    )(clinic         )(1  )
(614    )(clinton        )(119)
(615    )(clinton:       )(1  )
(616    )(clodfelt       )(1  )
(617    )(close          )(30 )
(618    )(closeddoor     )(1  )
(619    )(closemouth     )(1  )
(620    )(closest        )(1  )
(621    )(closur         )(1  )
(622    )(cloud          )(1  )
(623    )(clton          )(1  )
(624    )(club           )(1  )
(625    )(clue           )(8  )
(626    )(cnn            )(14 )
(627    )(co             )(2  )
(628    )(coachlight     )(1  )
(629    )(coal           )(10 )
(630    )(coalit         )(3  )
(631    )(coast          )(44 )
(632    )(coastal        )(1  )
(633    )(coastlin       )(6  )
(634    )(coat           )(1  )
(635    )(coetzer        )(1  )
(636    )(coffe          )(1  )
(637    )(coffin         )(2  )
(638    )(cohen          )(18 )
(639    )(coil           )(1  )
(640    )(coki           )(1  )
(641    )(col            )(1  )
(642    )(cold           )(8  )
(643    )(coldblood      )(1  )
(644    )(cole           )(179)
(645    )(coler          )(2  )
(646    )(colin          )(1  )
(647    )(colina         )(6  )
(648    )(collaps        )(10 )
(649    )(colleagu       )(1  )
(650    )(collect        )(1  )
(651    )(colleg         )(1  )
(652    )(coller         )(3  )
(653    )(collid         )(1  )
(654    )(collis         )(1  )
(655    )(colo           )(1  )
(656    )(colombia       )(1  )
(657    )(coloni         )(3  )
(658    )(color          )(2  )
(659    )(colorado       )(10 )
(660    )(columbia       )(1  )
(661    )(column         )(2  )
(662    )(comb           )(1  )
(663    )(combat         )(1  )
(664    )(combin         )(3  )
(665    )(come           )(21 )
(666    )(comeback       )(6  )
(667    )(comfort        )(1  )
(668    )(command        )(16 )
(669    )(comment        )(2  )
(670    )(commerci       )(4  )
(671    )(commiss        )(16 )
(672    )(commit         )(2  )
(673    )(committe       )(5  )
(674    )(commod         )(2  )
(675    )(commun         )(5  )
(676    )(communist      )(11 )
(677    )(communistrul   )(1  )
(678    )(commut         )(7  )
