t_index    term            df        
888        began           8         
889        begbi           1         
890        beggar          1         
891        begun           5         
892        behav           5         
893        behavior        9         
894        behead          1         
895        behemothlik     1         
896        bela            1         
897        belaru          1         
898        belarusian      1         
899        belfast         1         
900        belfort         1         
901        belgian         1         
902        belgium         2         
903        beli            1         
904        belief          5         
905        believ          77        
906        belivet         1         
907        bell            5         
908        bella           8         
909        bellagio        1         
910        bellhop         1         
911        belloq          1         
912        belltow         1         
913        belong          13        
914        belov           28        
915        belt            1         
916        ben             16        
917        bend            3         
918        beneath         6         
919        benedick        1         
920        benedict        4         
921        benefactor      1         
922        beneficiari     1         
923        benefit         6         
924        bengal          1         
925        benhur          1         
926        benjamin        6         
927        benjamn         1         
928        bennet          1         
929        bennett         2         
930        benson          2         
931        bent            2         
932        bentivoglio     1         
933        benzino         1         
934        beowolf         1         
935        beowulf         1         
936        bercontrol      1         
937        bereft          1         
938        beret           1         
939        berg            1         
940        bergen          1         
941        bergman         1         
942        berk            1         
943        berlin          3         
944        bernard         1         
945        bernbaum        1         
946        berni           1         
947        bernic          1         
948        bertha          1         
949        beseig          1         
950        beset           2         
951        besid           5         
952        besieg          2         
953        besot           1         
954        bestfriend      1         
955        bestlik         1         
956        bestman         1         
957        bestsel         5         
958        bet             6         
959        beth            5         
960        bethlehem       1         
961        betray          17        
962        betroth         4         
963        betsi           1         
964        bett            1         
965        bettani         1         
966        betti           2         
967        beverli         6         
968        bewar           1         
969        bewitch         1         
970        bey             1         
971        bhagat          1         
972        bhai            1         
973        bianca          1         
974        bias            1         
975        bibl            2         
976        biblequot       1         
977        biblic          3         
978        bibliophil      1         
979        bicker          2         
980        bickl           1         
981        bicycl          2         
982        bid             2         
983        biederman       1         
984        big             47        
985        bigciti         1         
986        bigg            1         
987        bigger          4         
988        biggest         19        
989        bigmouth        1         
990        bigot           1         
991        bigscreen       1         
992        bigtim          1         
993        bike            3         
994        biker           2         
995        bilbo           3         
996        billboard       1         
997        billi           21        
998        billion         7         
999        billionair      9         
1000       bin             1         
1001       bind            1         
1002       bing            1         
1003       bingham         1         
1004       bink            2         
1005       biochemist      1         
1006       bioengin        1         
1007       biograp         1         
1008       biograph        1         
1009       biographi       3         
1010       biolog          6         
1011       biologist       2         
1012       bionerv         1         
1013       biopic          2         
1014       bipolar         1         
1015       biraci          1         
1016       bird            4         
1017       birde           1         
1018       birdman         2         
1019       birth           16        
1020       birthday        19        
1021       birthdaysh      1         
1022       birthmark       1         
1023       bisbe           1         
1024       bisbop          1         
1025       bishop          2         
1026       bison           1         
1027       bit             10        
1028       bitchi          1         
1029       bite            5         
1030       bitten          1         
1031       bitter          1         
1032       bitterli        2         
1033       bittersweet     2         
1034       bizarr          12        
1035       black           39        
1036       blackamerican   1         
1037       blackandwhit    1         
1038       blackbeard      1         
1039       blackbox        1         
1040       blackbriaran    1         
1041       blackjack       1         
1042       blackmail       9         
1043       blackout        1         
1044       blacksmith      2         
1045       blackway        1         
1046       blackwood       1         
1047       blade           4         
1048       bladewield      1         
1049       blain           1         
1050       blair           3         
1051       blake           1         
1052       blame           7         
1053       blanchett       3         
1054       blanka          1         
1055       blanket         1         
1056       blasphemi       1         
1057       blast           3         
1058       blaze           1         
1059       bleak           1         
1060       bleed           2         
1061       bleeker         1         
1062       blend           1         
1063       bless           1         
1064       bletchley       1         
1065       blight          1         
1066       blind           13        
1067       blindfold       1         
1068       blink           2         
1069       blinkin         1         
1070       bliss           2         
1071       blister         1         
1072       blith           1         
1073       blitzer         1         
1074       blizzard        4         
1075       block           10        
1076       blockbust       1         
1077       blog            1         
1078       blomkvist       2         
1079       blond           5         
1080       blondi          1         
1081       blood           19        
1082       bloodi          9         
1083       bloodiest       1         
1084       bloodsh         2         
1085       bloodsport      1         
1086       bloodthirsti    6         
1087       bloom           6         
1088       blossom         3         
1089       blow            7         
1090       blown           3         
1091       blowout         1         
1092       blowup          1         
1093       blue            17        
1094       blueprint       1         
1095       bluf            1         
1096       bluff           1         
1097       blume           1         
1098       blunt           3         
1099       blur            6         
1100       bmovi           1         
1101       bo              1         
1102       board           24        
1103       boargoddemon    1         
1104       boast           2         
1105       boat            9         
1106       bob             13        
1107       bobbi           8         
1108       bobsled         1         
1109       bobsledd        1         
1110       boca            1         
1111       bodhi           1         
1112       bodi            50        
1113       bodili          1         
1114       bodin           1         
1115       bodyguard       3         
1116       bodyguardlimo   1         
1117       boer            1         
1118       bogg            1         
1119       boggi           1         
1120       bogu            2         
1121       bohemian        3         
1122       boil            2         
1123       boiler          1         
1124       boister         1         
1125       bold            2         
1126       boleyn          1         
1127       bolivar         1         
1128       bolivia         2         
1129       bolster         1         
1130       bolt            2         
1131       bolton          1         
1132       bomb            24        
1133       bombay          2         
1134       bomber          4         
1135       bona            1         
1136       bond            27        
1137       bondur          1         
1138       bone            3         
1139       bonehead        1         
1140       bonham          1         
1141       bonner          1         
1142       bonni           3         
1143       bono            1         
1144       bonwit          1         
1145       boo             2         
1146       boobi           3         
1147       boobytrap       1         
1148       book            31        
1149       booki           1         
1150       bookstor        2         
1151       bookworm        1         
1152       boot            6         
1153       booth           1         
