t_indexterm           df 
830    bread          1  
831    break          18 
832    breakdown      1  
833    breakthrough   1  
834    breakup        1  
835    breast         1  
836    breed          2  
837    brenda         1  
838    brendan        1  
839    brennan        2  
840    breslin        2  
841    brew           2  
842    brewer         1  
843    brian          7  
844    brick          2  
845    bride          3  
846    bridesmaid     1  
847    bridger        1  
848    bridget        1  
849    brief          2  
850    briefcas       2  
851    brigadi        1  
852    bright         2  
853    brightey       1  
854    brilliant      14 
855    bring          23 
856    brink          5  
857    brioni         1  
858    brit           1  
859    britain        7  
860    british        21 
861    brittani       1  
862    broadway       4  
863    brock          1  
864    brockovichelli 1  
865    brodi          1  
866    brokeback      1  
867    broken         3  
868    broker         3  
869    brolin         1  
870    bronx          2  
871    brood          1  
872    brook          1  
873    brooklyn       2  
874    brosnan        1  
875    brother        50 
876    brotherhood    1  
877    brotherinlaw   1  
878    brought        14 
879    broughton      1  
880    browbeat       1  
881    brown          7  
882    bruce          9  
883    bruge          2  
884    brugh          1  
885    bruhl          1  
886    bruis          1  
887    brumder        1  
888    bruni          1  
889    bruno          1  
890    brutal         14 
891    brute          1  
892    bryan          1  
893    bu             1  
894    bubbl          2  
895    buckingham     1  
896    buckl          1  
897    bud            1  
898    budapest       3  
899    buddi          3  
900    buell          1  
901    buff           1  
902    buffalo        1  
903    buffi          1  
904    bug            1  
905    bugl           1  
906    bugsi          1  
907    build          7  
908    builder        1  
909    built          2  
910    bukat          1  
911    bulgar         1  
912    bulger         1  
913    bulk           1  
914    bull           3  
915    bulli          7  
916    bullock        2  
917    bumbl          1  
918    bump           2  
919    bumpi          2  
920    bumpus         1  
921    bunch          1  
922    burbidg        1  
923    burden         1  
924    bureau         3  
925    burgess        1  
926    burglar        1  
927    burglari       1  
928    burgundi       1  
929    burk           1  
930    burli          1  
931    burn           4  
932    burnett        2  
933    burnham        1  
934    burnt          1  
935    burpelson      1  
936    burri          1  
937    burrough       1  
938    burstyn        1  
939    busboy         1  
940    bush           1  
941    busi           19 
942    businessman    7  
943    bust           1  
944    buster         1  
945    bustl          2  
946    butch          2  
947    butler         1  
948    button         1  
949    buy            10 
950    buzz           2  
951    byrd           1  
952    byrn           3  
953    ca             1  
954    cab            1  
955    cabalist       1  
956    cabbi          1  
957    cabin          2  
958    cabinet        1  
959    cabiria        1  
960    cabot          1  
961    cadi           2  
962    cadr           1  
963    caesar         3  
964    cage           2  
965    cain           2  
966    cairo          2  
967    caitlin        2  
968    cal            1  
969    calcul         1  
970    caldwel        1  
971    caleb          1  
972    calendar       1  
973    calgari        1  
974    calhoun        1  
975    california     7  
976    californian    1  
977    calitri:       1  
978    call           48 
979    callahan       1  
980    callen         1  
981    callou         1  
982    callow         1  
983    callum         1  
984    calm           1  
985    calogero       1  
986    calrissian     1  
987    calvert        1  
988    calvertpruitt  1  
989    calvin         4  
990    cambridg       2  
991    camcord        1  
992    came           6  
993    camelot        1  
994    camera         3  
995    cameron        2  
996    camp           11 
997    campaign       2  
998    campbel        4  
999    campu          1  
1000   canada         3  
1001   canadian       2  
1002   canal          2  
1003   cancer         2  
1004   candi          1  
1005   candic         1  
1006   candid         1  
1007   cannib         1  
1008   cannot         9  
1009   cant           12 
1010   canterburi     1  
1011   canton         1  
1012   canyon         1  
1013   cap            2  
1014   capabl         2  
1015   capac          1  
1016   capit          4  
1017   capitalist     1  
1018   capitol        1  
1019   cappella       1  
1020   capra          1  
1021   capt           3  
1022   captain        21 
1023   captiv         4  
1024   captor         1  
1025   captur         13 
1026   capulet        1  
1027   car            26 
1028   caravan        2  
1029   carcaterra     1  
1030   carcrash       1  
1031   card           3  
1032   cardin         2  
1033   care           10 
1034   career         16 
1035   carefre        2  
1036   carel          1  
1037   carer          1  
1038   caretak        1  
1039   cargo          2  
1040   carl           3  
1041   carla          2  
1042   carli          1  
1043   carlin         1  
1044   carlo          1  
1045   carmen         1  
1046   carmichael     1  
1047   carn           1  
1048   carnahan       1  
1049   carniv         1  
1050   carol          1  
1051   carolina       3  
1052   carolyn        3  
1053   carpent        1  
1054   carpetbagg     1  
1055   carraway       1  
1056   carrey         1  
1057   carri          12 
1058   carrier        1  
1059   carrigan       1  
1060   carrol         1  
1061   carter         5  
1062   cartwright     1  
1063   casablanca     1  
1064   case           24 
1065   casey          1  
1066   cash           6  
1067   casino         2  
1068   cassandra      1  
1069   cassett        1  
1070   cassi          1  
1071   cast           5  
1072   castl          4  
1073   castlerock     1  
1074   casual         1  
1075   casualti       1  
1076   cat            4  
1077   cataclysm      1  
1078   catapult       1  
1079   catastroph     2  
1080   catch          9  
1081   catch:         2  
1082   cate           1  
1083   categor        1  
1084   catharin       1  
1085   catherin       2  
1086   cathol         6  
1087   catholic       1  
1088   cattl          3  
1089   catton         1  
1090   caucasian      1  
1091   caught         6  
1092   caus           12 
1093   cavalri        1  
1094   cc             1  
1095   cd             1  
1096   cecilia        1  
1097   cedric         1  
1098   celebr         9  
1099   celest         1  
1100   celin          1  
1101   cell           4  
1102   cellar         1  
1103   cellist        1  
1104   cellmat        1  
1105   cement         1  
1106   cent           1  
1107   center         14 
1108   centr          1  
1109   central        4  
1110   centuri        29 
1111   ceo            3  
1112   ceremoni       1  
1113   certain        2  
1114   chad           1  
1115   chagrin        1  
1116   chain          5  
1117   chair          1  
1118   chairman       1  
1119   chalamet       1  
1120   challeng       10 
1121   challenges:    1  
1122   chamber        1  
