tt0105695
movie_id       cosine_similarity   
tt0101757      0.000000            
tt0762121      0.311203            
tt0983193      0.077784            
tt0196229      0.322698            
tt1670345      0.228314            
tt0454848      0.398982            
tt1528854      0.291589            
tt0134119      0.116321            
tt0452046      0.191831            
tt0478311      0.235556            
tt0120382      0.449276            
tt0106697      0.149644            
tt2820852      0.126909            
tt0109635      0.463749            
tt0144117      0.078633            
tt2802144      0.273129            
tt0332280      0.149703            
tt0795421      0.018945            
tt2305051      0.017312            
tt1853728      0.251570            
tt0110168      0.478132            
tt0119094      0.312745            
tt0155753      0.080847            
tt1282140      0.151778            
tt1267297      0.111392            
tt0022100      0.188578            
tt5311514      0.212525            
tt0112462      0.157355            
tt1800241      0.297388            
tt0213149      0.235964            
tt0203259      0.000000            
tt5715874      0.107788            
tt0078748      0.122941            
tt3890160      0.328127            
tt0116191      0.343862            
tt0293815      0.256570            
tt4263482      0.225317            
tt0052311      0.234460            
tt0107290      0.019808            
tt0100758      0.157500            
tt0133751      0.013580            
tt1661199      0.006470            
tt0096283      0.183954            
tt0119081      0.000000            
tt0100802      0.192566            
tt0187393      0.260930            
tt0108358      0.116745            
tt0076759      0.000000            
tt0186151      0.140434            
tt0117765      0.226050            
tt0106701      0.505966            
tt0790636      0.370124            
tt1210166      0.264855            
tt2527336      0.172710            
tt0144084      0.322777            
tt0115736      0.167349            
tt0120689      0.008684            
tt1659337      0.303048            
tt0120347      0.273965            
tt0087884      0.047925            
tt0116629      0.241188            
tt0378194      0.243794            
tt0104940      0.227613            
tt0107438      0.195368            
tt0120663      0.317974            
tt1578873      0.271102            
tt3532216      0.043119            
tt0309987      0.023399            
tt0108160      0.331373            
tt1379182      0.338664            
tt3332064      0.212872            
tt0074958      0.234849            
tt0383534      0.114316            
tt0113855      0.030551            
tt0105156      0.098172            
tt0332379      0.039815            
tt0105275      0.233916            
tt0118617      0.170574            
tt1809398      0.005537            
tt6868216      0.033528            
tt2279339      0.012324            
tt0238380      0.235711            
tt0062622      0.213402            
tt0071562      0.050130            
tt0482571      0.026425            
tt0780504      0.425583            
tt2180411      0.190492            
tt1454468      0.249672            
tt0116287      0.187196            
tt0113627      0.110238            
tt4209788      0.006200            
tt0317219      0.151576            
tt0120863      0.329664            
tt0079944      0.446046            
tt0119488      0.132738            
tt0442933      0.200346            
tt0107120      0.009907            
tt0118998      0.366778            
tt0496806      0.264834            
tt1321511      0.392407            
tt1504320      0.011154            
tt1528100      0.192518            
tt0106856      0.234043            
tt1615065      0.140608            
tt0107211      0.187703            
tt0110478      0.305952            
tt0212346      0.268515            
tt2234155      0.272990            
tt0217505      0.389221            
tt0185937      0.020478            
